row_index,stck_bsop_date,stck_oprc,stck_hgpr,stck_lwpr,stck_clpr,acml_vol,prdy_vrss,prdy_ctrt,prdy_vrss_sign,prdy_vrss_vol_rate,acml_prtt_rate,date,open,high,low,close,volume,ret_1,logret_1,ret_5,ret_20,ma5,ma20,ma60,close_ma5_gap,close_ma20_gap,close_ma60_gap,range_pct,atr_proxy,vol_ma20,volume_ratio,rsi14,future_return,target_signal,market_state_token,label_id,pred_signal,pred_confidence,prob_sell,prob_hold,prob_buy
0,2006-08-28,9101.8332189201,9129.8388595937,9003.8134765625,9003.8134765625,10722200,-42.0087890625,-0.4643998945473182,-1.0,-32.90909545977875,0.0619716363112807,2006-08-28,9101.8332189201,9129.8388595937,9003.8134765625,9003.8134765625,10722200.0,-0.004643998945473182,-0.00465481581057503,-0.021309246960826034,0.06988373887605359,9043.0208984375,8759.463134765625,8401.356176757812,-0.004335655342981082,0.027895584242722427,0.07170952964372268,0.013996889580093097,0.01974239103599367,17663392.5,0.6070294820205122,61.42795808170429,0.023327789169194313,BUY,T_UP|M5_NEG|M20_S_POS|RSI_STRONG|VOL_LOW|RNG_LOW,2,,,,,
1,2006-08-29,9129.835759673748,9255.861099914644,9101.830128509104,9227.85546875,15312250,224.0419921875,2.488301126746961,1.0,42.80884519967918,0.0883966885033475,2006-08-29,9129.835759673748,9255.861099914644,9101.830128509104,9227.85546875,15312250.0,0.024883011267469612,0.024578470727625756,0.0015197692418165154,0.08388144952731369,9045.821484375,8795.170263671875,8413.847208658854,0.02012354374773273,0.0491957736014863,0.09674626124104502,0.016691957511381042,0.01954094549238151,17258242.5,0.8872427189500901,67.16425444226235,-0.0015174630481503693,HOLD,T_UP|M5_NEU|M20_S_POS|RSI_STRONG|VOL_NORMAL|RNG_LOW,1,,,,,
2,2006-08-30,9241.859792461832,9255.8626103292,9087.8287959208,9171.845703125,13979500,-56.009765625,-0.606964053724901,-1.0,-8.70381557249914,0.0817905118421999,2006-08-30,9241.859792461832,9255.8626103292,9087.8287959208,9171.845703125,13979500.0,-0.00606964053724901,-0.006088135682606577,0.013931672964535347,0.08264471860311651,9071.026171875,8830.17734375,8423.539298502605,0.011114457101071284,0.038693261309959315,0.08883515326573188,0.018320610687023415,0.01922618391807798,17288595.0,0.8085966499880413,64.57862229227163,-0.0015271556446624368,HOLD,T_UP|M5_POS|M20_S_POS|RSI_STRONG|VOL_NORMAL|RNG_LOW,1,,,,,
3,2006-08-31,9157.844287860577,9269.866847956731,9101.8330078125,9101.8330078125,20178950,-70.0126953125,-0.7633435796749799,-1.0,44.34672198576488,0.0735327334245194,2006-08-31,9157.844287860577,9269.866847956731,9101.8330078125,9101.8330078125,20178950.0,-0.007633435796749799,-0.00766271958692144,0.02201253068550768,0.06907915791183394,9110.233984375,8859.583349609375,8432.297729492188,-0.0009221471783170676,0.02734323372146008,0.07940128536716573,0.018461538461538526,0.01926101836467714,17750302.5,1.1368228794974058,61.3968272885521,-0.0015382590023880205,HOLD,T_UP|M5_POS|M20_S_POS|RSI_STRONG|VOL_NORMAL|RNG_LOW,1,,,,,
4,2006-09-01,9129.835076091118,9199.849148760528,9087.826632489472,9143.837890625,8951400,42.0048828125,0.4614991593061113,1.0,-55.639911888378734,0.0784870779641495,2006-09-01,9129.835076091118,9199.849148760528,9087.826632489472,9143.837890625,8951400.0,0.004614991593061113,0.0046043751699631486,0.010835457752963906,0.07049132234910394,9129.837109375,8889.689208984375,8444.78749186198,0.0015335192821375188,0.028589152631316894,0.08277892125014108,0.012251148545176015,0.018370979198628883,17569600.0,0.5094822875876514,62.58780669789738,-0.009188009770070171,HOLD,T_UP|M5_POS|M20_S_POS|RSI_STRONG|VOL_V_LOW|RNG_LOW,1,,,,,
5,2006-09-04,9269.863800698138,9269.863800698138,9171.844092835772,9213.8525390625,8986350,70.0146484375,0.7657030808615239,1.0,0.3904417186138431,0.0867450867468144,2006-09-04,9269.863800698138,9269.863800698138,9171.844092835772,9213.8525390625,8986350.0,0.0076570308086152394,0.007627864538285678,0.023327789169194313,0.06991858173136345,9171.844921875,8919.79521484375,8463.807373046875,0.004580061868175722,0.032966824589133914,0.08861793906181692,0.010638297872340313,0.017832156319380472,17612845.0,0.5102156976910885,64.55098285170737,-0.033434287388904194,SELL,T_UP|M5_POS|M20_S_POS|RSI_STRONG|VOL_V_LOW|RNG_LOW,0,,,,,
6,2006-09-05,9185.84690824468,9241.85816988032,9129.835646609044,9213.8525390625,7216450,0.0,0.0,0.0,-19.69542695310109,0.0867450867468144,2006-09-05,9185.84690824468,9241.85816988032,9129.835646609044,9213.8525390625,7216450.0,0.0,0.0,-0.0015174630481503693,0.08580859149284015,9169.0443359375,8956.2025390625,8483.293595377605,0.004886900039230646,0.028767772822941184,0.08611737121569907,0.012158054711245987,0.01777594709741446,17221100.0,0.4190469830614769,64.55098285170737,-0.03951315237915054,SELL,T_UP|M5_NEU|M20_S_POS|RSI_STRONG|VOL_V_LOW|RNG_LOW,0,,,,,
7,2006-09-06,9213.850114081612,9213.850114081612,9115.830432016915,9157.8388671875,7866200,-56.013671875,-0.6079288944285555,-1.0,9.003734523207395,0.0801384493556978,2006-09-06,9213.850114081612,9213.850114081612,9115.830432016915,9157.8388671875,7866200.0,-0.006079288944285555,-0.006097843056746655,-0.0015271556446624368,0.06341423752615838,9166.24296875,8983.507861328126,8502.079370117188,-0.0009168534579709897,0.01940567187677633,0.07712930784616678,0.01070336391437288,0.0165440223370835,16934495.0,0.46450750376671995,61.55404856271161,-0.018348031970134904,HOLD,T_UP|M5_NEU|M20_S_POS|RSI_STRONG|VOL_V_LOW|RNG_LOW,1,,,,,
8,2006-09-07,9045.823562692603,9115.83767695493,9003.815094135207,9087.83203125,10126650,-70.0068359375,-0.7644471250562668,-1.0,28.736238590424847,0.0718813620329708,2006-09-07,9045.823562692603,9115.83767695493,9003.815094135207,9087.83203125,10126650.0,-0.007644471250562668,-0.007673839988967757,-0.0015382590023880205,0.053571739912602556,9163.4427734375,9006.612646484375,8525.527954101562,-0.008251346579767671,0.009017750396685287,0.06595533791874053,0.012326656394453102,0.015464567480241331,16685187.5,0.6069245550881582,57.93380723922651,0.009244632997848612,HOLD,T_FLAT|M5_NEU|M20_POS|RSI_STRONG|VOL_LOW|RNG_LOW,1,,,,,
9,2006-09-08,9017.815760239568,9101.832677260432,9017.815760239568,9059.82421875,7533050,-28.0078125,-0.3081902526773206,-1.0,-25.611628722232915,0.0685779281549203,2006-09-08,9017.815760239568,9101.832677260432,9017.815760239568,9059.82421875,7533050.0,-0.003081902526773206,-0.0030866613684050748,-0.009188009770070171,0.057189536339031344,9146.6400390625,9031.117578125,8547.576944986979,-0.009491553176000811,0.0031786365725690047,0.05992894560176465,0.009273570324574862,0.01471361463214887,16277092.5,0.46280071210506424,56.5020527645194,0.01391003378152611,HOLD,T_FLAT|M5_NEU|M20_POS|RSI_STRONG|VOL_V_LOW|RNG_V_LOW,1,,,,,
